"don't it make my brown eyes blue";"crystal gayle";"U-Best Super Hits 40 DVD Collection Pack";5
"feelings";"morris albert";"U-Best Super Hits 40 DVD Collection Pack";5
"all I have to do is dream";"the everly brothers";"U-Best Super Hits 40 DVD Collection Pack";5
"the exodus song";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";5
"yesterday";"The Beatles";"U-Best Super Hits 40 DVD Collection Pack";5
"baby I'm a want you";"Bread";"U-Best Super Hits 40 DVD Collection Pack";5
"cotton fields";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";5
"sailing";"christopher cross";"U-Best Super Hits 40 DVD Collection Pack";5
"sugar sugar";"the archies";"U-Best Super Hits 40 DVD Collection Pack";5
"reflections of my life";"mac alloose";"U-Best Super Hits 40 DVD Collection Pack";5
"I left my heart in san francisco";"tony bennett";"U-Best Super Hits 40 DVD Collection Pack";5
"let it be";"The Beatles";"U-Best Super Hits 40 DVD Collection Pack";5
"massachusetts (the lights went out)";"the bee gees";"U-Best Super Hits 40 DVD Collection Pack";5
"angie baby";"helen reddy";"U-Best Super Hits 40 DVD Collection Pack";5
"a dear john letter lounge";"richie cardwell";"U-Best Super Hits 40 DVD Collection Pack";5
"there's no getting over me";"ronnie milsap";"U-Best Super Hits 40 DVD Collection Pack";5
"are you lonesome tonight";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";5
"I just fall in love again";"anne murray";"U-Best Super Hits 40 DVD Collection Pack";5
"for your eyes only";"shoena easton";"U-Best Super Hits 40 DVD Collection Pack";6
"annie's song";"john denver";"U-Best Super Hits 40 DVD Collection Pack";6
"do that to me one more time";"Caption & tenille";"U-Best Super Hits 40 DVD Collection Pack";6
"the summer knows (summer of 42)";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";6
"another someone done somebody wrong song";"b.j. Thomas";"U-Best Super Hits 40 DVD Collection Pack";6
"lost in love";"air supply";"U-Best Super Hits 40 DVD Collection Pack";6
"as tears go by";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";6
"take my breath away";"berlin";"U-Best Super Hits 40 DVD Collection Pack";6
"proud mary";"Creedence Clearwater Revival";"U-Best Super Hits 40 DVD Collection Pack";6
"speak softly love";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";6
"stand by me";"ben e. king";"U-Best Super Hits 40 DVD Collection Pack";6
"angel of the morning";"juice newton";"U-Best Super Hits 40 DVD Collection Pack";6
"could've been";"tiffany";"U-Best Super Hits 40 DVD Collection Pack";6
"lodi";"Creedence Clearwater Revival";"U-Best Super Hits 40 DVD Collection Pack";6
"when will I see you again";"the three degrees";"U-Best Super Hits 40 DVD Collection Pack";6
"up where we belong";"cooker joe";"U-Best Super Hits 40 DVD Collection Pack";6
"michelle";"The Beatles";"U-Best Super Hits 40 DVD Collection Pack";6
"you've got a friend";"james taylor";"U-Best Super Hits 40 DVD Collection Pack";6
"sunny";"bobby hebb";"U-Best Super Hits 40 DVD Collection Pack";6
"snowbird";"anne murray";"U-Best Super Hits 40 DVD Collection Pack";6
"you've lost that loving feeling";"the righteous brothers";"U-Best Super Hits 40 DVD Collection Pack";6
"grease";"frankie valil";"U-Best Super Hits 40 DVD Collection Pack";6
"our day will come";"Ruby & the romantics";"U-Best Super Hits 40 DVD Collection Pack";6
"love potion number nine";"searchers";"U-Best Super Hits 40 DVD Collection Pack";6
"you're so vain";"carly simon";"U-Best Super Hits 40 DVD Collection Pack";6
"now deep is your love";"the bee gees";"U-Best Super Hits 40 DVD Collection Pack";6
"spanish eyes";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";6
"rosanna";"tobo";"U-Best Super Hits 40 DVD Collection Pack";6
"strangers in the night";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";7
"for the good times";"ray price";"U-Best Super Hits 40 DVD Collection Pack";7
"send in the clowns";"judy collins";"U-Best Super Hits 40 DVD Collection Pack";7
"besame mucho";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";7
"paper roses";"marie osmond";"U-Best Super Hits 40 DVD Collection Pack";7
"tie a yellow ribbon round the old oak tree";"Tony & dawn";"U-Best Super Hits 40 DVD Collection Pack";7
"the times of your life";"paul anka";"U-Best Super Hits 40 DVD Collection Pack";7
"goodbye jimmy goodbye";"jack vaughn";"U-Best Super Hits 40 DVD Collection Pack";7
"heartbreaker";"pat benatar";"U-Best Super Hits 40 DVD Collection Pack";7
"just walking in the rain";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";7
"one way ticket";"neil sedaka";"U-Best Super Hits 40 DVD Collection Pack";7
"rhinestone cowboy";"glen campbell";"U-Best Super Hits 40 DVD Collection Pack";7
"the impossible dream";"jack jones";"U-Best Super Hits 40 DVD Collection Pack";7
"I got a name";"Jim Croce";"U-Best Super Hits 40 DVD Collection Pack";7
"midnight blue";"melissa machester";"U-Best Super Hits 40 DVD Collection Pack";7
"danny boy";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";7
"he ain't heavy, he's my brother";"Neil Diamond";"U-Best Super Hits 40 DVD Collection Pack";7
"key largo";"bertle higgins";"U-Best Super Hits 40 DVD Collection Pack";7
"where do I begin (theme from love story)";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";7
"the most beautiful girl in the world";"charlie rich";"U-Best Super Hits 40 DVD Collection Pack";7
"(I never promised you a) rose garden";"lynn anderson";"U-Best Super Hits 40 DVD Collection Pack";7
"stay awhile";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";7
"only you (and you alone)";"the platters";"U-Best Super Hits 40 DVD Collection Pack";7
"three coins in the fountain";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";7
"we may never love like this again";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";7
"yesterday when I was young (hier encore)";"roy clark";"U-Best Super Hits 40 DVD Collection Pack";7
"your cheatin heart";"hank williams";"U-Best Super Hits 40 DVD Collection Pack";7
"fly me to the moon (in other words)";"tony bennett";"U-Best Super Hits 40 DVD Collection Pack";7
"raindrops keep falling on my head";"b.j. Thomas";"U-Best Super Hits 40 DVD Collection Pack";8
"sealed with a kiss";"bryan hyland";"U-Best Super Hits 40 DVD Collection Pack";8
"always on my mind";"willio nolson";"U-Best Super Hits 40 DVD Collection Pack";8
"oh carol";"neil sedaka";"U-Best Super Hits 40 DVD Collection Pack";8
"jambalaya (on the bayou)";"hank williams";"U-Best Super Hits 40 DVD Collection Pack";8
"it's too late";"carole king";"U-Best Super Hits 40 DVD Collection Pack";8
"a time for us";"Romeo & juliet";"U-Best Super Hits 40 DVD Collection Pack";8
"san francisco (be sure to wear some flowers in your hair)";"scott mckenzie";"U-Best Super Hits 40 DVD Collection Pack";8
"the wedding";"fred jay & joaquin";"U-Best Super Hits 40 DVD Collection Pack";8
"paloma blanca";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";8
"daisy jane";"gerry brockley";"U-Best Super Hits 40 DVD Collection Pack";8
"love is a many-splendored thing";"the four aces";"U-Best Super Hits 40 DVD Collection Pack";8
"tammy";"debbie reynolds";"U-Best Super Hits 40 DVD Collection Pack";8
"lemon tree";"trini lopez";"U-Best Super Hits 40 DVD Collection Pack";8
"I went to your wedding";"jesse may robinson";"U-Best Super Hits 40 DVD Collection Pack";8
"smoke gets in your eyes";"the platters";"U-Best Super Hits 40 DVD Collection Pack";8
"am I that easy to forget";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";8
"the last waltz";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";8
"love me with all your heart";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";8
"the rose";"bette midler";"U-Best Super Hits 40 DVD Collection Pack";8
"the morning after";"maureen mcgovern";"U-Best Super Hits 40 DVD Collection Pack";8
"sunshine on my shoulders";"john denver";"U-Best Super Hits 40 DVD Collection Pack";8
"blowing in the wind";"bob dylan";"U-Best Super Hits 40 DVD Collection Pack";8
"born free";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";8
"I'd love you to want me";"lobo";"U-Best Super Hits 40 DVD Collection Pack";8
"somewhere in my love";"jack jones";"U-Best Super Hits 40 DVD Collection Pack";8
"I love how you love me";"glen campbell";"U-Best Super Hits 40 DVD Collection Pack";8
"where have all the flowers gone";"peter, paul, & mary";"U-Best Super Hits 40 DVD Collection Pack";8
"wind beneath my wings";"bette midler";"U-Best Super Hits 40 DVD Collection Pack";9
"all this time";"tiffany";"U-Best Super Hits 40 DVD Collection Pack";9
"manic monday";"the bangles";"U-Best Super Hits 40 DVD Collection Pack";9
"I'll always love you";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";9
"love will lead you back";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";9
"don't know much";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";9
"more than you know";"martika";"U-Best Super Hits 40 DVD Collection Pack";9
"cath's clown";"the everly brothers";"U-Best Super Hits 40 DVD Collection Pack";9
"devoted to you";"the everly brothers";"U-Best Super Hits 40 DVD Collection Pack";9
"sister golden hair";"america";"U-Best Super Hits 40 DVD Collection Pack";9
"handy man";"james taylor";"U-Best Super Hits 40 DVD Collection Pack";9
"a groovy kind of love";"phil collins";"U-Best Super Hits 40 DVD Collection Pack";9
"the logical song";"supertramp";"U-Best Super Hits 40 DVD Collection Pack";9
"travelin man";"ricky nelson";"U-Best Super Hits 40 DVD Collection Pack";9
"from a distance";"bette midler";"U-Best Super Hits 40 DVD Collection Pack";9
"eternal flame";"the bangles";"U-Best Super Hits 40 DVD Collection Pack";9
"how am I supposed to live without you";"laura branigan";"U-Best Super Hits 40 DVD Collection Pack";9
"through the eyes of love";"melissa machester";"U-Best Super Hits 40 DVD Collection Pack";9
"here and now";"luther vandross";"U-Best Super Hits 40 DVD Collection Pack";9
"one moment in time";"Whitney Housten";"U-Best Super Hits 40 DVD Collection Pack";9
"toy soldiers";"martika";"U-Best Super Hits 40 DVD Collection Pack";9
"to all the girls I've loved before";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";9
"come on over";"barry gibb";"U-Best Super Hits 40 DVD Collection Pack";9
"at seventeen";"janis lan";"U-Best Super Hits 40 DVD Collection Pack";9
"one tin soldier";"coven";"U-Best Super Hits 40 DVD Collection Pack";9
"greensleeves";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";9
"four strong winds";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";9
"something better to do";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";9
"there's a kind of hush";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"hurting each other";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"please mr. postman";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"I need to be in love";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"top of the world";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"we've only just begun";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"sing";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"I won't last a day without you";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"close to you";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"yesertday once more";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"superstar";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"make believe it's your first time";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"for all we know";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"goodbye to love";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";10
"a little more love";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"sam";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"have you never been mellow";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"please mr. please";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"if you love me (let me know)";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"I honestly love you";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"suddenly";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"don't stop believing";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"let me be there";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"magic";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"take me home, country roads";"john denver";"U-Best Super Hits 40 DVD Collection Pack";10
"help me make it through the night";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"physical";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"hopelessly devoted to you";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";10
"nothing compares 2 u";"sinead oconnor";"U-Best Super Hits 40 DVD Collection Pack";11
"foolish beat";"debbie gibson";"U-Best Super Hits 40 DVD Collection Pack";11
"out of the blue";"debbie gibson";"U-Best Super Hits 40 DVD Collection Pack";11
"vincent";"don mclean";"U-Best Super Hits 40 DVD Collection Pack";11
"this masquerade";"george benson";"U-Best Super Hits 40 DVD Collection Pack";11
"stay awhile";"maurice williams";"U-Best Super Hits 40 DVD Collection Pack";11
"never gonna fall in love again";"eric carmen";"U-Best Super Hits 40 DVD Collection Pack";11
"escapade";"janet jackson";"U-Best Super Hits 40 DVD Collection Pack";11
"black cat";"janet jackson";"U-Best Super Hits 40 DVD Collection Pack";11
"shake your love";"debbie gibson";"U-Best Super Hits 40 DVD Collection Pack";11
